Movie_Title,Movie_ID,ListOfCertificate
Final Destination 5,1622979,R
Glory Road,385726,PG
Max,3369806,PG
Teenage Mutant Ninja Turtles III,108308,PG
Because I Said So,490084,PG-13
Mannequin,93493,PG
The Unborn,1139668,PG-13
Heartbreak Ridge,91187,R
The Lizzie McGuire Movie,306841,PG
Death at a Funeral,1321509,R
Secondhand Lions,327137,PG
The Great Outdoors,95253,PG
Truth or Dare,6772950,"PG-13,R"
Pale Rider,89767,R
Gremlins 2: The New Batch,99700,PG-13
Three Days of the Condor,73802,R
Bandits,219965,PG-13
High Crimes,257756,PG-13
The Angry Birds Movie 2,6095472,PG
Orphan,1148204,R
Ronin,122690,R
This Is Cinerama,45231,G
Starting Over,79948,R
The Hours,274558,PG-13
"Oh, God!",76489,PG
Cheech and Chong's Next Movie,80520,R
The Hills Have Eyes,454841,R
Easy Rider,64276,R
Aliens vs. Predator: Requiem,758730,R
Almost Christmas,4649416,PG-13
Reds,82979,PG
The Water Horse,760329,PG
Pretty in Pink,91790,PG-13
The Master of Disguise,295427,PG
The Fly,91064,R
Paddington 2,4468740,PG
Blue Crush,300532,PG-13
Peter Rabbit 2: The Runaway,8376234,PG
Jagged Edge,89360,R
Bill & Ted's Excellent Adventure,96928,PG
Duplicity,1135487,PG-13
Pleasantville,120789,PG-13
Three Fugitives,98471,PG-13
Ghost in the Shell,1219827,PG-13
The Dark Crystal,83791,PG
Crazy Heart,1263670,R
Swiss Family Robinson,54357,G
Burlesque,1126591,PG-13
Hocus Pocus,107120,PG
Nobody's Fool,110684,R
Little,8085790,PG-13
Little Nicky,185431,PG-13
The Texas Chainsaw Massacre: The Beginning,420294,R
Hitman,465494,R
Out for Justice,102614,R
Benji,71206,G
Conan the Barbarian,82198,R
Epic Movie,799949,PG-13
30 Days of Night,389722,R
Jackie Brown,119396,R
Friday the 13th,80761,R
The Beach,163978,R
Caddyshack,80487,"M,R"
The Illusionist,443543,PG-13
The Ladykillers,335245,R
The Terminator,88247,R
Pride & Prejudice,414387,PG
Sex Tape,1956620,R
Gridiron Gang,421206,PG-13
Bachelor Party,86927,R
Spy Kids 4: All the Time in the World,1517489,PG
Midnight Run,95631,R
Rock of Ages,1336608,"PG-13,R"
Running Scared,91875,R
Surrogates,986263,PG-13
On Deadly Ground,110725,R
